,,,all,fisher,relief,spec,f,chi2_nor,RFS,mrmr,cmim,jmi,borutashap,rf,lasso_svm,lasso_lg,lg,svc,rfs,cfs,chi2,shap
en,accuracy,1004,1.0,0.99,0.915,1.0,0.99,0.99,1.0,0.9916666666666667,0.99,0.99,0.99,0.99,1.0,1.0,0.99,0.99,0.9783333333333334,0.985,,
en,accuracy,1019,0.9925400291120815,,,,,,,,,,,,,,,,0.987627365356623,0.972707423580786,,
en,accuracy,1020,0.9995,0.994,0.997,,0.994,0.9895,0.9805,0.999,0.992,0.9925,0.994,0.9945,0.9995,0.9985,,,,0.9005,,
en,accuracy,1021,0.9210670564589805,0.8996893842499544,0.9212497716060661,0.9227114927827517,0.8996893842499544,0.8996893842499544,0.9274620866069797,0.9227114927827517,0.9395212863146355,0.9395212863146355,0.9395212863146355,0.9236250685181802,0.9150374566051526,0.9291065229307509,,,,0.9227114927827517,0.9212497716060661,
en,accuracy,1045,0.9586206896551724,0.9448275862068966,0.9586206896551724,0.9655172413793104,0.9448275862068966,0.9448275862068966,0.9517241379310345,0.5724137931034483,0.8413793103448276,0.8551724137931035,0.9517241379310345,0.9448275862068966,0.993103448275862,0.9655172413793104,0.9517241379310345,0.9586206896551724,0.9379310344827586,0.9517241379310345,,
en,accuracy,1049,0.877914951989026,0.8978052126200274,0.877914951989026,0.8772290809327846,0.8978052126200274,0.8998628257887518,0.8813443072702332,0.877914951989026,0.877914951989026,0.877914951989026,0.877914951989026,0.877914951989026,0.9060356652949245,0.9149519890260631,0.8772290809327846,0.877914951989026,0.8806584362139918,0.877914951989026,,
en,accuracy,1050,0.8976327575175944,0.8931541906589892,0.8976327575175944,0.8976327575175944,0.8931541906589892,0.8931541906589892,0.8976327575175944,0.8976327575175944,0.8963531669865643,0.8976327575175944,0.8976327575175944,0.8976327575175944,0.8976327575175944,0.8976327575175944,0.8950735764555342,0.8989123480486244,0.8880358285348688,0.8976327575175944,,
en,accuracy,1054,0.7515527950310559,,,0.7515527950310559,,,0.7701863354037267,,,,,0.7577639751552795,0.7701863354037267,0.7453416149068323,0.7267080745341615,0.7267080745341615,0.7577639751552795,0.7453416149068323,,
en,accuracy,1056,0.9928163955208114,0.9929220367631524,0.9928163955208114,0.9916543418550602,0.9929220367631524,0.9926051130361293,,,,,0.9928163955208114,0.9926051130361293,,,0.990069723219945,0.9928163955208114,0.9926051130361293,0.9924994717937883,,0.9928163955208114
en,accuracy,1059,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,0.9256198347107438,,
en,accuracy,1060,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.12698412698412698,0.9047619047619048,0.9047619047619048,0.873015873015873,0.8888888888888888,0.873015873015873,0.8888888888888888,0.873015873015873,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8888888888888888,0.9365079365079365,,
