,,,all,fisher,relief,spec,f,chi2_nor,RFS,mrmr,cmim,jmi,borutashap,rf,lasso_svm,lasso_lg
en,Kendall rank correlation coefficient,1004,1.0,-1.0,0.27485380116959063,0.25609756097560976,-1.0,-1.0,0.5238095238095238,0.04761904761904762,-1.0,-1.0,-1.0,-1.0,0.2777777777777778,0.28368794326241137
en,Kendall rank correlation coefficient,1019,1.0,,,,,,,,,,,,,
en,Kendall rank correlation coefficient,1020,1.0,0.3471264367816092,0.2758620689655172,,0.3471264367816092,0.17647058823529413,0.6727272727272727,0.418546365914787,0.4952380952380953,0.40259740259740256,0.3935483870967742,0.3523809523809524,0.5225225225225225,0.09401709401709403
en,Kendall rank correlation coefficient,1021,0.9999999999999999,-0.6,0.9999999999999998,0.06666666666666665,-0.6,-0.6,-0.2,0.06666666666666665,0.6666666666666669,0.6666666666666669,0.6666666666666669,0.19999999999999998,-0.39999999999999997,0.5714285714285714
en,Kendall rank correlation coefficient,1045,1.0,,0.5238095238095238,0.023060796645702302,1.0,0.9743589743589742,0.07834101382488479,0.9999999999999999,1.0,0.3333333333333333,0.09024390243902439,,-0.057971014492753624,-0.3626373626373627
en,Kendall rank correlation coefficient,1049,1.0,0.37777777777777777,0.024193548387096777,-0.04086021505376344,0.37777777777777777,-0.21428571428571427,0.07126436781609195,0.3626373626373627,0.03787878787878788,0.03787878787878788,-0.18666666666666662,0.029239766081871343,-0.025641025641025644,-0.23999999999999996
en,Kendall rank correlation coefficient,1050,1.0,1.0,-0.02463054187192118,-0.18319327731092439,1.0,1.0,0.05645161290322581,0.21666666666666667,-0.3333333333333334,-0.07096774193548387,0.016091954022988506,0.14081996434937613,0.04761904761904763,-0.022222222222222227
en,Kendall rank correlation coefficient,1054,1.0,,,0.13650793650793652,,,-0.1111111111111111,,,,,0.33333333333333337,-0.14529914529914534,0.08831908831908834
en,Kendall rank correlation coefficient,1056,1.0,-0.6,0.606060606060606,0.015384615384615385,-0.6,-0.2,,,,,0.3333333333333333,0.19999999999999998,,
en,Kendall rank correlation coefficient,1059,0.9999999999999998,,0.7142857142857143,,,-1.0,,-1.0,-1.0,,0.19999999999999998,1.0,,1.0
en,Kendall rank correlation coefficient,1060,0.9999999999999998,-0.13333333333333333,-0.049999999999999996,0.13999999999999996,-0.13333333333333333,0.0,-0.0606060606060606,-0.6666666666666669,,0.41999999999999993,1.0,-1.0,-0.04761904761904762,1.0
en,Kendall rank correlation coefficient,1061,0.9999999999999998,-0.28888888888888886,-0.39999999999999997,-0.4619883040935673,-0.28888888888888886,0.06666666666666665,0.6,-0.3333333333333334,0.0761904761904762,-0.0303030303030303,0.14285714285714288,-1.0,-0.05454545454545454,0.33333333333333326
en,Kendall rank correlation coefficient,1062,0.9999999999999998,,0.5,0.0,,0.031746031746031744,-0.05333333333333332,-0.05882352941176472,0.33333333333333337,0.0,1.0,,0.2,-0.21428571428571427
en,Kendall rank correlation coefficient,1063,1.0,0.04761904761904762,0.16842105263157894,0.14705882352941174,0.04761904761904762,0.06666666666666665,,,-1.0,,-1.0,0.16842105263157894,0.16842105263157894,-0.3333333333333334
en,Kendall rank correlation coefficient,1064,0.9999999999999998,0.17948717948717952,1.0,0.7333333333333333,0.17948717948717952,1.0,0.7142857142857142,0.7333333333333333,,0.7333333333333333,-0.1111111111111111,0.025641025641025637,-0.23809523809523814,1.0
en,Kendall rank correlation coefficient,1065,1.0,-0.14285714285714288,1.0,-0.33333333333333337,-0.14285714285714288,0.06666666666666667,,-0.3333333333333334,1.0,0.9047619047619049,-0.33333333333333337,1.0,1.0,0.4666666666666666
en,Kendall rank correlation coefficient,1066,1.0,0.19511599511599512,0.09352142110762801,0.26153846153846155,0.13220113220113222,0.0766541822721598,-0.207977207977208,,,,-0.39999999999999997,,0.1176470588235294,0.1088709677419355
en,Kendall rank correlation coefficient,1067,1.0,0.15789473684210525,0.18954248366013074,0.0909090909090909,0.15789473684210525,0.23076923076923073,-0.18333333333333335,-0.33333333333333337,0.411764705882353,0.411764705882353,0.15789473684210525,0.15789473684210525,-0.2761904761904762,-0.4444444444444444
en,Kendall rank correlation coefficient,1068,1.0,-0.4999999999999999,0.20261437908496735,,-0.4999999999999999,,-0.33333333333333337,0.7999999999999999,0.17894736842105263,0.017543859649122806,-0.07692307692307693,,0.33333333333333337,-0.18095238095238098
en,Kendall rank correlation coefficient,1069,1.0,,,,,,-1.0,,,,,,,
en,Kendall rank correlation coefficient,1071,1.0,0.33333333333333337,0.9999999999999999,1.0,0.33333333333333337,-1.0,-0.15508021390374335,0.2173913043478261,-0.3333333333333334,-0.3333333333333334,1.0,-1.0,0.23076923076923073,0.39999999999999997
en,Kendall rank correlation coefficient,1441,1.0,-0.39999999999999997,0.04,-0.2121212121212121,-0.39999999999999997,,,-0.39999999999999997,0.9999999999999999,0.611111111111111,,-1.0,0.06666666666666667,0.07602339181286549
en,Kendall rank correlation coefficient,1442,1.0,-1.0,1.0,,-1.0,0.0,0.1111111111111111,,,,0.33333333333333337,-1.0,0.2,0.33333333333333337
en,Kendall rank correlation coefficient,1443,1.0,0.3571428571428571,-0.43333333333333335,0.1111111111111111,0.3571428571428571,0.4222222222222222,0.03296703296703297,-0.1280788177339901,0.20000000000000004,-0.06666666666666668,0.0,0.6666666666666669,0.33333333333333337,0.12820512820512817
en,Kendall rank correlation coefficient,1444,1.0,0.12000000000000001,0.07076923076923078,0.006535947712418302,0.12000000000000001,-0.2991452991452992,0.1895161290322581,0.12554112554112554,-0.015873015873015872,-0.015873015873015872,0.2,-0.6,0.022727272727272728,0.11666666666666665
en,Kendall rank correlation coefficient,1446,1.0,0.2727272727272727,0.3636363636363636,1.0,0.2727272727272727,-0.33333333333333337,-0.03557312252964427,1.0,0.33333333333333337,0.33333333333333337,0.1111111111111111,0.07142857142857142,0.4705882352941176,1.0
en,Kendall rank correlation coefficient,1447,1.0,-0.15555555555555553,1.0,,-0.15555555555555553,-0.33333333333333326,-0.1212121212121212,0.02528735632183908,0.02528735632183908,0.02528735632183908,-1.0,0.1176470588235294,-0.05128205128205127,-0.09473684210526316
en,Kendall rank correlation coefficient,1448,1.0,-0.14285714285714288,0.02766798418972332,0.0,-0.14285714285714288,0.10080645161290325,-0.19999999999999998,-0.09890109890109891,0.281045751633987,0.12820512820512817,-0.04761904761904762,0.2777777777777778,0.7333333333333333,0.06666666666666667
en,Kendall rank correlation coefficient,1450,1.0,,0.16666666666666669,0.1533333333333333,,-0.1111111111111111,0.0,0.3453453453453454,0.014245014245014247,0.3453453453453454,0.003952569169960474,,0.04761904761904762,0.14285714285714285
en,Kendall rank correlation coefficient,1451,1.0,0.16363636363636364,-0.1368421052631579,0.14619883040935672,0.16363636363636364,0.39999999999999997,-0.09803921568627452,0.21428571428571427,0.16666666666666666,0.16666666666666666,0.1111111111111111,-0.33333333333333337,-0.1473684210526316,0.015384615384615385
en,Kendall rank correlation coefficient,1452,1.0,,,,,,,,,,,,,
en,Kendall rank correlation coefficient,1453,1.0,0.3333333333333334,,0.13725490196078433,0.3333333333333334,0.3333333333333334,0.10052910052910052,0.21428571428571427,1.0,1.0,0.01333333333333333,-0.6,-0.05454545454545454,0.1208791208791209
en,Kendall rank correlation coefficient,1487,0.9999999999999999,0.11442307692307693,0.5094339622641509,,0.11442307692307693,0.05555555555555555,0.226768968456948,0.1309041835357625,0.1309041835357625,0.1309041835357625,-0.14625850340136054,-0.06666666666666667,-0.03296703296703297,-0.16176470588235295
en,Kendall rank correlation coefficient,1488,1.0,1.0,0.7999999999999999,0.1176470588235294,1.0,-0.19999999999999998,0.41818181818181815,,,,,,0.0,0.7857142857142856
en,Kendall rank correlation coefficient,1490,0.9999999999999998,0.9999999999999999,1.0,0.37777777777777777,0.9999999999999999,0.21428571428571427,0.0,-0.2,-0.15555555555555553,0.2,1.0,,0.2857142857142857,0.0
